Version,Build Number,Date de Sortie ,Date Fin de Support
Qlik Sense Fevrier 2022,14.54.2,15/02/2022,Null
Qlik Sense Novembre 2021,14.44.5,08/11/2021,08/11/2023
Qlik Sense Aout 2021,14.28.3,23/08/2021,23/08/2023
Qlik Sense Mai 2021,14.20.5,10/05/2021,10/05/2023
Qlik Sense Fevrier 2021,14.5.4,09/02/2021,09/02/2023
Qlik Sense Novembre 2020,13.102.5,10/11/2020,10/11/2022
Qlik Sense Septembre 2020,13.95.3,09/09/2020,09/09/2022
Qlik Sense Juin 2020,13.82.4,10/06/2020,10/06/2022
Qlik Sense Avril 2020,13.72.3,14/04/2020,14/04/2022
Qlik Sense Fevrier 2020,13.62.6,25/02/2020,25/02/2022
Qlik Sense Novembre 2019,13.51.4,11/11/2019,11/11/2021
Qlik Sense Septembre 2019,13.42.1,30/09/2019,30/09/2021
Qlik Sense Juin 2019,13.32.2,28/06/2019,28/06/2021
Qlik Sense Avril 2019,13.21.1,25/04/2019,25/04/2021
Qlik Sense Fevrier 2019,13.9.1,12/02/2019,12/02/2021
Qlik Sense Novembre 2018,12.44.1,13/11/2018,12/11/2020
Qlik Sense Septembre 2018,12.36.1,11/09/2018,11/09/2020
Qlik Sense Juin 2018,12.26.1,26/06/2018,26/06/2020
Qlik Sense Avril 2018,12.16.2,19/04/2018,19/04/2020
Qlik Sense Fevrier 2018,12.5.2,13/02/2018,13/02/2020
Qlik Sense Novembre 2017,11.24.1,14/11/2017,14/11/2019
Qlik Sense Septembre 2017,11.14.3,19/09/2017,19/09/2019
Qlik Sense Juin 2017,11.11.1,29/06/2017,29/06/2019
