Milestone,Release Date
1.0.0,2006-10-03
1.1.0,2007-01-05
2.0.0,2007-04-18
2.1.0,2007-07-11
2.2.0,2007-10-08
2.3.0,2008-02-05
2.4.0,2008-06-06
3.0.0,2008-10-15
3.1.0,2009-05-05
3.2.0,2009-10-05
4.0.0,2010-04-06
4.1.0,2010-10-05
4.2.0,2011-05-05
5.0.0,2011-11-28
5.1.0,2012-05-07
5.2.0,2012-10-26
5.3.0,2013-04-24
5.4.0,2013-10-28
5.5.0,2014-05-26
5.6.0,2014-10-27
6.0.0,2015-07-03
6.1.0,2015-10-30
6.2.0,2016-05-13
6.3.0,2016-10-28
6.4.0,2017-05-12
6.4.1,2017-06-30
6.5.1,2018-01-23
7.0.1,2018-04-13
7.1.1,2018-10-29
7.2.1,2019-06-24
7.3.1,2020-02-27
8.0.1,2021-11-19
